n,k,brute_force,CalinescuKarloffRabani,electrical_alg,ratio_BruteCKR,ratio_BruteElectrical,ratioCKRElectrical
95,4,,9.763180707979215,36.90696618039631,,,3.780219508815721
225,8,,17.028060014846695,49.446676149740206,,,2.903834970432795
27,8,,18.69136955956251,29.48940114533293,,,1.5777014654469845
93,8,,17.80017962005576,37.662550219506976,,,2.1158522567419458
34,4,,12.247174708204422,23.185283900561622,,,1.8931128568803484
106,7,,13.77886603592232,33.69482809354513,,,2.4453992081569496
155,6,,13.781739468043313,23.74820667156967,,,1.7231646793669482
16,3,,4.933201323898974,4.736275816868272,,,0.960081599330501
219,6,,11.290157710270046,44.56468684770128,,,3.9472156183578546
142,7,,14.768810703691386,45.263407062399175,,,3.064797021948817
190,7,,14.099339346996638,36.92037534531519,,,2.6185890300725165
272,7,,14.439956869997589,84.7178039972935,,,5.866901456839853
174,8,,13.025244165994438,40.455114708129145,,,3.105900679677625
224,6,,9.431912194363004,24.3652276095485,,,2.583275491486277
176,7,,15.701621047106471,49.04558278742633,,,3.1235999544432107
76,3,,5.739382793524456,26.956511023461108,,,4.696761305740957
19,5,,15.587290005372214,22.203427324382446,,,1.4244571902319105
27,3,,5.001326558310977,17.511772008052088,,,3.501425432608839
279,9,,20.94389924823648,54.64920215795911,,,2.6093136483437145
114,4,,8.087546040134654,25.54493849733467,,,3.1585524670360154
29,9,,21.197432545878318,28.193296256948198,,,1.3300335404265822
234,5,,9.460657550081525,12.878377966905838,,,1.3612561176358045
77,7,,12.027496180251719,37.26947265988752,,,3.09868921189776
168,9,,20.545659892851976,66.12930499159741,,,3.218650816594331
90,3,,4.072165355331789,27.730782328510195,,,6.8098370053174735
45,4,,7.649960922404804,14.258961909562887,,,1.8639261107598586
272,8,,16.031449945219933,61.01464902517227,,,3.8059345370295024
288,5,,9.978870038860157,34.39636205255064,,,3.4469195328331574
159,4,,7.9566046491404,45.479524553264824,,,5.715946255816324
129,9,,20.682242601935858,59.17701780713665,,,2.8612476386674666
117,7,,17.659766392839696,42.76441800806806,,,2.4215732562242307
14,4,5.7296223374037725,5.7296223374037725,16.22728788605655,1.0,2.832174082421202,2.832174082421202
125,4,,8.713348129770369,21.603083534491923,,,2.479309125809168
61,2,,2.765909625196329,9.418012832390879,,,3.405032740982046
209,8,,17.69494535280356,66.72398870951864,,,3.770793714203078
241,9,,19.069387899285434,35.35061925595772,,,1.8537888810412404
229,8,,17.334580898257556,52.70026315937734,,,3.040180980935898
119,9,,21.94457039666443,60.84503763420516,,,2.7726693452815825
67,2,,1.8442091824686093,11.86393752881364,,,6.4330758362957985
279,4,,8.319240600932648,16.39444721737523,,,1.9706663148481716
188,2,,2.9786671982514608,20.829671874226012,,,6.992950366007139
288,2,,1.639210903850805,10.118589409988498,,,6.172841692437556
266,2,,2.5517755043398087,14.110889892269743,,,5.529832020203709
157,5,,12.02687149912313,36.976446221310155,,,3.0744858481281754
199,7,,14.538891533983055,42.43030278934687,,,2.9184001194431306
137,3,,4.891873279124145,8.605538861296678,,,1.7591499963869544
140,8,,17.358261087894604,56.58325998369223,,,3.259730896843841
16,5,,9.721754625418145,19.92410387096874,,,2.049434967107265
146,9,,19.61481955752111,43.05292452377702,,,2.194918204448575
39,3,,4.686385397779825,19.638061619837302,,,4.190449558233268
132,2,,1.8632344300934118,10.437235202891284,,,5.601675792545343
12,3,7.5760082166975495,7.5760082166975495,9.561123163963435,1.0,1.2620265039959546,1.2620265039959546
35,9,,23.4281411095915,38.50084675236967,,,1.643359008820695
100,8,,15.815752457837277,29.994750067225674,,,1.8965110984878997
232,8,,17.130303757851554,45.87722434963668,,,2.6781325654315484
266,6,,11.191561602023954,32.843709290816754,,,2.9346851189093295
82,2,,1.7695345842388175,9.16103246287399,,,5.177085853235639
13,3,6.543829096021208,6.543829096021208,8.670517297881563,1.0,1.3249914034511427,1.3249914034511427
44,4,,10.496480454844798,22.35072791134919,,,2.1293545019685998
156,4,,6.2470277436262425,43.026823377522334,,,6.887567198884624
93,7,,12.320830688632505,52.355319845709445,,,4.249333601671332
54,5,,10.471866891117434,31.54992076329151,,,3.0128267568081046
67,2,,2.8467296463886935,12.359233428992678,,,4.341555034799796
206,5,,10.862679503760987,42.505124049278976,,,3.912950210356701
282,5,,9.862518834896923,32.902995501389725,,,3.3361655427179326
146,9,,25.51749644467086,54.387785814234505,,,2.131391922877802
159,2,,3.064538371305601,9.730902381609738,,,3.1753240464285755
203,6,,11.080663002813964,32.78389555484853,,,2.958658299284345
172,4,,6.643892993813968,35.80179482166199,,,5.388677219063661
12,3,3.344519607746256,3.344519607746256,9.901795285238284,1.0,2.960603149793081,2.960603149793081
255,3,,3.2123661503489442,14.761857062421772,,,4.59532206838198
75,4,,7.408720504405588,21.23121081376059,,,2.865705461710355
78,6,,18.429185240364106,42.32153785336102,,,2.2964410689555192
38,2,,2.403861400955045,11.066909629356893,,,4.60380520480925
205,9,,17.085283586419674,50.9973949877517,,,2.984872608628354
31,4,,8.919068679326287,16.96389982041514,,,1.9019810733979603
144,4,,9.87732999317262,19.967970675135646,,,2.021595986864654
119,4,,8.23518969729102,24.345044210382817,,,2.9562214235807054
204,7,,13.154544718773394,47.677117073974465,,,3.6243836706816985
84,2,,1.676078722122084,9.557866477056734,,,5.702516445621072
224,9,,15.931228259765188,80.13646874737725,,,5.030150057529738
179,5,,7.960360327109942,35.0041858017497,,,4.397311725015617
33,4,,10.287973310363999,18.024220108149166,,,1.7519699521373906
261,8,,22.20738597695359,59.029177170273975,,,2.6580875944396767
75,8,,17.954624445886793,43.09008944574783,,,2.399943790281801
209,8,,18.057772326116964,76.26068243902573,,,4.223150068667654
160,3,,4.680961428209049,21.021109834361617,,,4.490767581993164
270,11,,23.14769846975637,63.2516248300569,,,2.7325232749466783
10,2,3.3793765141729857,3.3793765141729857,5.570337550464535,1.0,1.6483329179517985,1.6483329179517985
10,3,9.023759160162038,9.023759160162038,12.494408679192954,1.0,1.3846123835344686,1.3846123835344686
11,2,3.3561544600008455,3.3561544600008455,5.5916553486592875,1.0,1.6660899893915726,1.6660899893915726
11,3,5.83032920442621,5.83032920442621,10.840543959390459,1.0,1.8593365107343587,1.8593365107343587
12,2,2.670104367108868,2.670104367108868,8.706072749036045,1.0,3.2605739521945334,3.2605739521945334
12,3,7.942787109497382,7.942787109497382,13.524284867398793,1.0,1.7027127481772084,1.7027127481772084
10,2,2.59105514678593,2.59105514678593,10.813717449271543,1.0,4.173480237456698,4.173480237456698
10,3,4.620026034654887,4.620026034654887,14.710429904427542,1.0,3.18405779406531,3.18405779406531
11,2,3.435790781819094,3.435790781819094,4.768817327188586,1.0,1.3879824558652887,1.3879824558652887
11,3,7.304473617048167,7.304473617048167,14.172635687116067,1.0,1.940267900213652,1.940267900213652
12,2,2.9872510463192476,2.9872510463192476,6.612965696532822,1.0,2.213729477032408,2.213729477032408
12,3,5.756702560811354,5.756702560811354,11.547223643896292,1.0,2.0058746342921734,2.0058746342921734
12,4,6.714325794270142,6.714325794270142,10.457057352386727,1.0,1.5574247769315201,1.5574247769315201
13,2,1.0033689973953865,1.0033689973953865,6.888403141016891,1.0,6.865274050621731,6.865274050621731
13,3,5.770448943821915,5.770448943821915,6.277903399589267,1.0,1.0879402037359076,1.0879402037359076
13,4,8.507200703562845,8.507200703562845,17.1464939735743,1.0,2.0155271482419934,2.0155271482419934
14,2,3.71825931730009,3.71825931730009,7.062101838817771,1.0,1.8993032051206473,1.8993032051206473
14,3,8.083200272570751,8.083200272570751,15.09388473635995,1.0,1.8673154477662777,1.8673154477662777
10,2,2.4332658470061235,2.4332658470061235,5.577514789031381,1.0,2.2921929372797156,2.2921929372797156
10,3,6.0538297780353485,6.0538297780353485,7.387427202820307,1.0,1.2202898782558356,1.2202898782558356
11,2,2.080037597068947,2.080037597068947,4.139681688147103,1.0,1.9901956070315614,1.9901956070315614
11,3,5.3386298326373405,5.3386298326373405,11.795219263864324,1.0,2.209409461535444,2.209409461535444
12,2,1.9707330557671303,1.9707330557671303,12.55378923583447,1.0,6.370111466439966,6.370111466439966
12,3,6.861075603440149,6.861075603440149,11.985746024976773,1.0,1.7469193924881268,1.7469193924881268
12,4,9.943394577208064,9.943394577208064,14.322492415271856,1.0,1.4404027019204713,1.4404027019204713
10,2,2.3124079353186557,2.3124079353186557,2.953976475104282,1.0,1.2774460898471258,1.2774460898471258
10,3,7.009332084881366,7.009332084881366,14.497336655983046,1.0,2.0682907416032945,2.0682907416032945
11,2,2.701564094702216,2.701564094702216,6.230309272260655,1.0,2.3061859922103385,2.3061859922103385
11,3,4.31593154929684,4.31593154929684,2.4093345195070697,1.0,0.5582420601410147,0.5582420601410147
12,2,4.97735188921434,4.97735188921434,5.4000304120000875,1.0,1.084920361709139,1.084920361709139
12,3,7.660612712558388,7.660612712558388,13.769336536863486,1.0,1.7974197435005155,1.7974197435005155
15,3,,4.9167891480486885,7.438790452706719,,,1.5129366398920991
15,4,,6.808508077992286,13.395354233257123,,,1.9674433928566604
15,5,,9.781890118506126,12.59214580706853,,,1.2872916843796627
16,4,,7.64515317064905,18.898805593907042,,,2.47199829382916
17,2,,3.5405390077869647,7.906509905384077,,,2.233137352249111
17,3,,4.619819219030209,8.317403425200254,,,1.8003742204757185
17,4,,8.283834219585142,5.461528380834988,,,0.6592995750593985
17,5,,11.158698610020657,23.071735830646464,,,2.067600948548583
18,3,,6.365422493421134,20.343384675771517,,,3.1959205687913177
18,6,,16.929451531729228,21.292937624153733,,,1.2577452721516966
19,2,,4.58632076530063,9.605175262253523,,,2.094309524733801
19,3,,7.336932216817285,12.05094362169981,,,1.6425044235896502
19,4,,8.522481498345453,11.863794885681823,,,1.3920587434522504
19,6,,12.698870602976585,23.854193921472984,,,1.878450034437048
20,2,,3.4072219043608527,5.344774744778312,,,1.5686605964635336
20,4,,7.296577686923616,9.354307218645626,,,1.2820129682727452
20,5,,10.610627518012087,12.794316105389523,,,1.2058020210087022
20,6,,14.075360026871238,19.191578565603052,,,1.3634875789297363
21,2,,1.6250696663932045,9.188364986601172,,,5.654136051283564
21,3,,7.115007320631951,14.90365956873762,,,2.0946794426367346
21,4,,7.932192616350507,20.042837278320675,,,2.5267713793291757
21,5,,12.044861163343892,25.068386942344958,,,2.081251631080277
21,6,,12.630424109336985,20.998579841772955,,,1.6625395679508377
21,7,,13.54690054254306,23.304794103187884,,,1.720304510245784
22,2,,2.9788747537011555,6.919945118937914,,,2.323006400433622
22,5,,11.440703734390045,17.079852396781195,,,1.492902254381452
22,6,,13.244145749324359,27.451597588243363,,,2.0727344826784155
22,7,,14.590314547408067,29.775796314356235,,,2.0407919388993454
23,3,,6.123293528466972,15.661676228553262,,,2.5577209643376873
23,4,,6.207349132262892,19.607331254125913,,,3.158728603199745
23,5,,10.504456364763778,24.468108358190204,,,2.329307439485036
23,6,,11.33168661553892,19.490210539002017,,,1.7199743692413336
23,7,,18.279170822460145,35.847465436048985,,,1.961110040724723
24,2,,1.850032522080916,7.417011488513006,,,4.009124920771854
24,3,,6.167776390678375,15.133324849530878,,,2.4536111381084633
24,4,,10.371094410575589,19.32614666057153,,,1.863462610162368
24,5,,8.826482895959158,21.0333068784887,,,2.3829771298959783
24,7,,18.777905575550488,23.89391811389448,,,1.2724485176347475
24,8,,18.22971809190902,29.05085172469824,,,1.5935985174445464
25,2,,3.3552206588115316,14.119835969635162,,,4.208318142222161
25,3,,4.340732116455864,17.73420230918888,,,4.085532539996632
25,4,,7.946477936485881,14.76274492631006,,,1.8577720902649977
25,5,,13.1003543344535,28.295950595555787,,,2.1599378057384575
25,7,,14.633422660968709,21.23675555984024,,,1.451250063082262
25,8,,18.874672557913602,20.09938418956977,,,1.0648865101049225
26,3,,7.038178672699933,13.810079641370454,,,1.9621666745883752
26,4,,7.494094742255319,13.530361501750498,,,1.8054697688114079
26,5,,8.984582494264185,19.759472655869246,,,2.1992644253067763
26,6,,15.583656539745915,17.884268778603175,,,1.1476298090239334
27,4,,7.0192902249897156,10.713500277396358,,,1.5262939604996963
27,7,,16.72923215086504,28.754781134883217,,,1.7188344853829023
27,9,,20.758493699074393,29.366587228574655,,,1.4146781387073424
28,2,,1.4766650475915863,5.234575958361324,,,3.5448634522086246
28,3,,6.560169967765119,18.98710509716539,,,2.894300786483099
28,4,,7.630631156356612,11.836613560936154,,,1.5511971838759098
28,6,,11.99170611174724,29.075126933812815,,,2.424603026697796
28,8,,17.84198274022755,32.06394961546868,,,1.7971068620739932
28,9,,22.702850132205235,28.264779516903474,,,1.2449881557738136
29,2,,3.228489373799442,10.551735218675809,,,3.2683196371366767
29,4,,7.997434822684083,19.039173916692125,,,2.380660091494467
29,5,,10.860106703645737,27.460267028379583,,,2.528544864035376
29,6,,18.16503542782872,40.23254429077194,,,2.2148343420864425
29,7,,15.251743093992012,31.307629930232473,,,2.0527247106965247
29,8,,19.218481057385652,35.792017206112625,,,1.8623749243886145
30,2,,3.615584417775869,6.608018558059059,,,1.8276488098496644
30,3,,7.938210811595458,13.318055600121902,,,1.677715031284887
30,5,,8.118843420378504,23.179965986267064,,,2.8550822803263776
30,6,,11.868987138469311,19.319451078928996,,,1.6277253360829353
30,7,,15.540753859940066,25.88752152660237,,,1.6657828674150437
30,8,,18.000153056117135,30.16829624579332,,,1.676002206855735
30,9,,19.385058182287892,29.134421970183222,,,1.5029318816697343
30,10,,25.03134577781583,31.831560678456416,,,1.2716679702721903
31,2,,3.2044293394611394,8.479268684326977,,,2.646108803183303
31,3,,4.405139538261708,3.7038626771064456,,,0.84080484736881
31,6,,15.268647072961407,25.996309395478338,,,1.7025941637955657
31,7,,15.847590211063562,26.6142509237904,,,1.6793878797553958
31,8,,18.755371114459912,18.23397616174936,,,0.9722002326944856
31,9,,23.062203266765447,34.34792047193475,,,1.4893598878921062
32,2,,2.3591731277074324,9.773629238657,,,4.142819839659116
32,5,,8.998279735204118,22.747169708460028,,,2.5279464939799436
32,6,,12.910326547258471,38.449450310036866,,,2.9781934770814664
32,7,,16.506538058279908,29.967698967225807,,,1.8155047933987343
32,8,,20.035408503436894,32.537960890331476,,,1.624022833612296
32,9,,21.988586832147703,37.045109382942165,,,1.6847426196931201
32,10,,21.213934967245727,29.536611546385156,,,1.3923212073568447
33,2,,1.9808299045253548,5.070457062317832,,,2.559763991210952
33,3,,6.613610920229082,11.747978251108485,,,1.7763334421707346
33,5,,15.968890345496321,34.83521694414744,,,2.1814425542706513
33,6,,13.32769572366664,23.15367182939992,,,1.737259936710951
33,7,,19.221797335714967,33.23744121912453,,,1.7291536602234308
33,8,,10.766599389820128,35.16857920131841,,,3.2664519155946743
33,9,,22.19094796511663,41.30379073413995,,,1.8612900539025201
33,10,,18.110409216348877,55.86235450589229,,,3.0845440231943217
33,11,,23.488853796116164,51.3217410740527,,,2.1849402069392867
34,2,,2.2745010780956045,6.6364420566445395,,,2.9177572701794907
34,3,,5.245521607844857,16.091385218034844,,,3.067642537964123
34,5,,11.45187968161928,20.60622625036728,,,1.7993750216779771
34,6,,15.79930495636924,32.774581339466,,,2.074431845576438
34,8,,19.68958270026392,33.83618181761491,,,1.7184814088092057
34,9,,22.376599779811965,37.910687921177015,,,1.694211287426243
34,10,,25.78365755165165,45.838830700292576,,,1.7778249888893762
34,11,,29.533218688049324,42.8503792294416,,,1.4509214075870807
35,2,,3.4432171287609488,7.234953400694361,,,2.1012190431620787
35,3,,4.488549267382169,14.320275255640887,,,3.190401709457635
35,5,,12.72079900662977,19.316733563422222,,,1.5185157436537446
35,6,,12.204032389643558,26.54392056244938,,,2.1750123004405304
35,8,,21.17402811889312,39.8269582791866,,,1.8809344190702137
35,10,,25.364584190173495,39.61919583592014,,,1.5619887769052816
36,2,,2.879552450786263,8.72870004466775,,,3.031269682996875
36,3,,5.425454897933466,18.49057017713704,,,3.4081142549318817
36,4,,7.547279271029009,20.77188288398719,,,2.7522345653382874
36,5,,9.094751445334747,27.49551836763298,,,3.0232292254382727
36,6,,17.223070212769954,33.03864491306799,,,1.918278477931981
36,7,,16.39608908187179,21.825075039883096,,,1.3311146902717077
36,9,,21.03690181690727,36.96812751705988,,,1.757299047112952
36,10,,27.02865390408378,31.21041672983842,,,1.154715911513552
36,11,,30.31434207522092,58.375084729188714,,,1.925658969749001
36,12,,25.3587276046321,41.48523715498812,,,1.6359352804203908
37,2,,2.0043777165525363,5.787264785045818,,,2.887312474716454
37,5,,12.543488584876734,29.641058183946825,,,2.363063352222767
37,6,,11.442340706772281,32.24161787651346,,,2.817746709589838
37,7,,17.48134591248535,41.576850981406565,,,2.378355258773981
10,4,11.647142140970526,11.647142140970526,18.344762967255893,1.0,1.5750441391734633,1.5750441391734633
10,5,7.75091761631848,7.75091761631848,9.864086081712463,1.0,1.2726346182476511,1.2726346182476511
11,4,10.463751045931073,10.463751045931073,16.85403952127683,1.0,1.6107072356075103,1.6107072356075103
11,5,5.841441147744515,5.841441147744515,9.840127804198541,1.0,1.6845376946060633,1.6845376946060633
12,5,12.854516970961463,12.854516970961463,14.290095801649851,1.0,1.111678940090194,1.111678940090194
12,6,11.761828220889942,11.761828220889942,17.30249503642844,1.0,1.4710719040852707,1.4710719040852707
13,5,9.240927442573321,9.240927442573321,17.240819979101012,1.0,1.8657023427834598,1.8657023427834598
13,6,,11.941910849937663,15.977622942595083,,,1.3379452537680339
14,5,,9.696632728766005,8.791881426620147,,,0.9066942796067933
14,6,,15.865148798451097,17.28392368299963,,,1.08942714011526
14,7,,16.63822945667881,23.376419931106607,,,1.4049824226773717
15,6,,12.664322198587078,12.455234483131514,,,0.9834900192701279
15,7,,13.600136302091657,19.907865077355083,,,1.4637989381248566
16,6,,14.177420089415246,21.86492471166592,,,1.5422357928146677
16,7,,16.45090614554375,22.633848674616832,,,1.3758420645265141
16,8,,17.368756247787957,23.38655302641853,,,1.346472521853543
17,6,,14.19005969142078,21.37452696495694,,,1.5063028225229977
17,7,,17.588237856567527,19.175269276417744,,,1.0902325424975767
17,8,,14.84435070698273,21.6873850944238,,,1.4609857664048673
18,7,,15.100447872246956,14.978359127858061,,,0.9919148924971105
18,8,,19.573582259010905,24.88464569525729,,,1.2713383460404333
