n,k,brute_force,CalinescuKarloffRabani,electrical_alg,ratio_BruteCKR,ratio_BruteElectrical,ratioCKRElectrical,brute_time,ckr_time,elec_time
18,9,,20.35635035783725,22.21193712834301,,,1.0911551794838976,,0.19263601303100586,0.08472418785095215
19,2,,3.4914042298792287,3.4914042298792287,,,1.0,,0.1884927749633789,0.014206886291503906
19,3,,6.315614569003307,7.463572203680592,,,1.1817649924856717,,0.18984508514404297,0.010390043258666992
19,4,,6.856621155259464,8.036148168146358,,,1.1720274441562404,,0.19199085235595703,0.013341188430786133
19,5,,8.293818613275688,15.211617725737401,,,1.83409095798027,,0.1940619945526123,0.013360977172851562
19,6,,13.823363959311731,18.880207399754674,,,1.3658185847762867,,0.19545602798461914,0.011729001998901367
19,7,,16.722915106766763,20.465730613826597,,,1.223813580536885,,0.19941997528076172,0.016039133071899414
19,8,,16.881890766146075,19.447881880004523,,,1.1519966660964382,,0.20324182510375977,0.012851953506469727
19,9,,19.785700292026974,25.219863760455876,,,1.2746510554705361,,0.20435094833374023,0.013554096221923828
20,2,,2.6005979228964113,3.3461706370617135,,,1.286692805374128,,0.20095086097717285,0.013885021209716797
20,3,,8.03676093293599,8.46055277605663,,,1.05273167220688,,0.19122004508972168,0.0077059268951416016
20,4,,7.578152533210074,10.175698521297411,,,1.3427677097688384,,0.13698196411132812,0.0076520442962646484
20,5,,10.084451805691284,10.332610599849204,,,1.0246080599064262,,0.14013385772705078,0.007238864898681641
20,6,,12.898386450031335,18.045887565238495,,,1.3990810118109505,,0.1424717903137207,0.014218807220458984
20,7,,15.745445117934116,22.406103846344564,,,1.4230213041626836,,0.14394807815551758,0.012511014938354492
20,8,,16.039932578769136,20.541290327596226,,,1.2806344557074512,,0.14563298225402832,0.018860816955566406
20,9,,17.08156653193798,21.64383989084416,,,1.2670875268012418,,0.14791202545166016,0.009225130081176758
20,10,,20.307282044735715,26.742446883605247,,,1.3168895189761611,,0.14815711975097656,0.012205839157104492
21,2,,3.923765080279507,3.923765080279507,,,1.0,,0.14666390419006348,0.06193280220031738
21,3,,9.556743405119636,11.330292169463801,,,1.1855808709266022,,0.1478898525238037,0.009100914001464844
21,4,,8.1012917313499,13.135534624660407,,,1.6214123698112601,,0.14909791946411133,0.0232541561126709
21,5,,11.442510908129947,12.88786904346193,,,1.126314770152856,,0.1515650749206543,0.009453058242797852
21,6,,14.590501996590328,13.811213300101931,,,0.9465893156609341,,0.1540389060974121,0.009879827499389648
21,7,,14.366179551655001,18.263317266376525,,,1.2712716836587614,,0.1884779930114746,0.008323907852172852
21,8,,15.246469861652798,17.71620157637505,,,1.1619871181416233,,0.15729498863220215,0.008522987365722656
21,9,,23.56316395044294,32.16039289613128,,,1.3648588518829503,,0.15949296951293945,0.009595870971679688
21,10,,23.846876913224584,26.293456761023872,,,1.1025953988315556,,0.16116881370544434,0.011172056198120117
22,2,,2.235102525215036,4.183676664527956,,,1.8718052605329374,,0.1582329273223877,0.008337020874023438
22,3,,8.113581651919425,10.810942056603903,,,1.3324500227401255,,0.15899395942687988,0.011210918426513672
22,4,,7.7947048382353,12.646670211831088,,,1.622469416647502,,0.1602780818939209,0.01199197769165039
22,5,,8.021935429711908,15.201547231445605,,,1.894997455993178,,0.161729097366333,0.03985786437988281
22,6,,16.858345674972753,20.139297672370667,,,1.1946188588521285,,0.1635580062866211,0.00808405876159668
22,7,,12.210373578477945,16.674386619418243,,,1.3655918479684017,,0.16673803329467773,0.00896596908569336
22,8,,18.299386071899438,21.711831608747,,,1.1864786896915476,,0.20314502716064453,0.009640932083129883
22,9,,21.32740152681177,25.350343091963232,,,1.188627834482978,,0.17627501487731934,0.010960102081298828
22,10,,22.36383058252538,29.061142610043483,,,1.2994707012648914,,0.17206287384033203,0.01135706901550293
22,11,,16.5105981308446,26.788967458486795,,,1.622531615522787,,0.17612290382385254,0.01052093505859375
23,2,,2.684657355848246,2.684657355848246,,,1.0,,0.1632699966430664,0.007709980010986328
23,3,,6.53408541830934,6.53408541830934,,,1.0,,0.15233993530273438,0.013141155242919922
23,4,,10.182388279761106,18.291518550783543,,,1.7963878461736178,,0.15744709968566895,0.008022069931030273
23,5,,9.692387853017905,14.723115022888848,,,1.5190389866935146,,0.16197514533996582,0.006821870803833008
23,6,,12.384298361746474,18.042534545744406,,,1.4568879090861946,,0.1584169864654541,0.010304927825927734
23,7,,12.620788531623653,15.805491671388317,,,1.2523378893311474,,0.19363903999328613,0.008178949356079102
23,8,,21.821580097164556,26.428121974099682,,,1.2111002895493204,,0.16260504722595215,0.008130788803100586
23,9,,19.620010527603565,26.143677978926647,,,1.3325007110544043,,0.16371798515319824,0.010660886764526367
23,10,,24.415698618663033,29.13062256281217,,,1.193110343381496,,0.16558599472045898,0.011586904525756836
23,11,,22.837817632869935,27.71772154708742,,,1.2136764551090011,,0.1729109287261963,0.009696006774902344
24,2,,1.3806458909897277,2.398486283849982,,,1.737220455659783,,0.16258692741394043,0.005917072296142578
24,3,,5.542231630975175,7.526185030353053,,,1.3579701339600623,,0.16351795196533203,0.07731413841247559
24,4,,6.634377559923724,11.563702916095716,,,1.7429974118368785,,0.16573214530944824,0.07071709632873535
24,5,,9.637754400723306,12.296674310875488,,,1.2758858339399717,,0.16942310333251953,0.008703947067260742
24,6,,10.770349344545348,17.950034115150807,,,1.6666157745608887,,0.2026820182800293,0.010248899459838867
24,7,,12.973293285992362,18.443042025737682,,,1.4216160553196746,,0.17048215866088867,0.008246898651123047
24,8,,20.19293404349413,24.38502554884189,,,1.2076019015522113,,0.17311310768127441,0.008419990539550781
24,9,,20.00128516217894,25.899303343753036,,,1.2948819605215591,,0.1764369010925293,0.009458065032958984
24,10,,23.89320386913567,32.63393043406729,,,1.365824801596514,,0.15903401374816895,0.011081933975219727
24,11,,28.58106652015833,33.366025336508415,,,1.1674170840677074,,0.15933513641357422,0.009917020797729492
24,12,,22.363962465633765,27.843973694665756,,,1.2450375794295403,,0.16140294075012207,0.009799957275390625
25,2,,3.7380666606176245,3.7380666606176245,,,1.0,,0.15537500381469727,0.005953073501586914
25,3,,7.409707079302983,7.409707079302983,,,1.0,,0.15557503700256348,0.009243011474609375
