n,k,brute_force,CalinescuKarloffRabani,electrical_alg,ratio_BruteCKR,ratio_BruteElectrical,ratioCKRElectrical,brute_time,ckr_time,elec_time
15,2,,4.308133680755492,4.308133680755492,,,1.0,,0.07950305938720703,0.014128923416137695
15,3,,6.246063119281274,6.546631097798022,,,1.0481211881431216,,0.0817110538482666,0.006906986236572266
15,4,,7.643351588033749,10.064781443922772,,,1.3168021028471275,,0.08308601379394531,0.007232189178466797
15,5,,10.176564424950309,11.294007476447891,,,1.109805530121531,,0.11671710014343262,0.009105920791625977
15,6,,9.961085256390708,16.98619253582134,,,1.7052552105126848,,0.08586502075195312,0.008563995361328125
15,7,,14.94080953678246,16.526142409095964,,,1.1061075618700986,,0.08876705169677734,0.009280920028686523
16,2,,3.5515624184523857,3.5515624184523857,,,1.0,,0.08734297752380371,0.006697893142700195
16,3,,5.858286313998719,9.537319801640974,,,1.6280050667463946,,0.08974719047546387,0.0065898895263671875
16,4,,8.86652131282189,10.001709150668907,,,1.1280308023627508,,0.09648299217224121,0.055542945861816406
16,5,,9.546515080605026,11.049032837750328,,,1.1573891356645798,,0.10353398323059082,0.009459972381591797
16,6,,15.578908086648042,16.00582244082114,,,1.0274033553442035,,0.0950779914855957,0.008861064910888672
16,7,,16.097699547481568,19.79459391882688,,,1.2296535825159987,,0.09745407104492188,0.009332895278930664
16,8,,16.792194280153293,16.792194280153293,,,1.0,,0.09881782531738281,0.01312398910522461
17,2,,4.448046360206622,4.619701635226585,,,1.0385911614041698,,0.10186004638671875,0.008174896240234375
17,3,,5.640369927672282,5.640369927672282,,,1.0,,0.0972130298614502,0.00701594352722168
17,4,,7.914193060635158,11.580683668154396,,,1.4632804101982548,,0.09994292259216309,0.013350963592529297
17,5,,10.333568306582919,10.692413569063243,,,1.0347261712347442,,0.10370206832885742,0.008651018142700195
17,6,,17.81012848347384,21.638107030910195,,,1.2149326744603985,,0.10536003112792969,0.009228944778442383
17,7,,16.03154347954758,16.346592155405496,,,1.0196517993579248,,0.10541605949401855,0.010544061660766602
17,8,,19.39575178044326,21.718896656727676,,,1.1197759644783063,,0.10869002342224121,0.010334968566894531
18,2,,4.465155668333359,4.465155668333359,,,1.0,,0.13571500778198242,0.01135110855102539
18,3,,6.805663539192887,8.203738254053281,,,1.2054281271486715,,0.10678505897521973,0.011322975158691406
18,4,,8.325339682214448,12.055244864622876,,,1.4480183782022351,,0.12095093727111816,0.010616064071655273
18,5,,12.020368725377157,13.270711060069473,,,1.1040186339752307,,0.12252187728881836,0.010637998580932617
18,6,,13.669768437793856,14.284982204415137,,,1.0450054270795366,,0.12454986572265625,0.010548830032348633
18,7,,20.376401605896852,23.389823229241426,,,1.14788782051059,,0.1262221336364746,0.03600788116455078
18,8,,17.648757949915932,23.0477376968746,,,1.3059127312120218,,0.12843894958496094,0.011492013931274414
18,9,,15.301685754720149,18.24897844285446,,,1.192612286997539,,0.13057804107666016,0.01235198974609375
19,2,,3.947231098315623,3.947231098315623,,,1.0,,0.12660002708435059,0.011021852493286133
