n,max_flow,electrical_alg,ratio
114,6.452489362,6.452489362,1
115,9.423611305,9.423611305,1
115,6.772338277,6.772338277,1
115,8.017437161,8.017437161,1
115,12.85049479,12.85049479,1
115,6.316259894,6.316259894,1
116,5.799113849,5.799113849,1
116,7.032046324,7.032046324,1
116,6.598600185,6.598600185,1
117,5.093585383,5.093585383,1
118,8.026796372,8.026796372,1
118,9.619430677,9.619430677,1
118,7.134251648,7.134251648,1
118,9.531381554,9.531381554,1
119,6.081098323,6.081098323,1
119,5.282116454,5.282116454,1
119,6.638763327,6.638763327,1
120,9.100621782,9.100621782,1
120,6.718256758,6.718256758,1
120,8.566154367,8.566154367,1
121,7.392100591,7.392100591,1
122,8.757076917,8.757076917,1
122,8.854572868,8.854572868,1
123,7.128116226,7.128116226,1
123,7.359900239,7.359900239,1
123,5.591912107,5.591912107,1
124,5.289741348,5.289741348,1
124,6.239586594,6.239586594,1
124,5.064857717,5.064857717,1
124,8.792979602,8.792979602,1
125,10.65943589,10.65943589,1
125,5.909740211,5.909740211,1
126,12.16567083,12.16567083,1
126,5.060681363,5.060681363,1
126,5.078740404,5.078740404,1
127,6.092065697,6.092065697,1
127,5.677114902,5.677114902,1
128,9.273936116,9.273936116,1
128,8.517769084,8.517769084,1
129,10.17786637,10.17786637,1
129,8.227086471,8.227086471,1
129,5.630804894,5.630804894,1
130,7.55058817,7.55058817,1
130,7.187919054,7.187919054,1
130,5.695739007,5.695739007,1
130,6.964370131,6.964370131,1
130,6.383592262,6.383592262,1
131,7.327268025,7.327268025,1
131,4.914145426,4.914145426,1
131,6.150568372,6.150568372,1
131,7.358608594,7.358608594,1
131,4.329722763,4.329722763,1
132,7.929597649,7.929597649,1
132,9.203518475,9.203518475,1
132,7.645703142,7.645703142,1
132,6.713148819,6.713148819,1
132,6.422777982,6.422777982,1
133,7.520167262,7.520167262,1
134,5.989583457,5.989583457,1
135,9.682487737,9.682487737,1
135,10.34588992,10.34588992,1
135,6.642610572,6.642610572,1
135,4.291176181,4.291176181,1
136,7.87997544,7.87997544,1
136,7.547593837,7.547593837,1
136,7.637755543,7.637755543,1
136,7.094846125,7.094846125,1
137,8.822161478,8.822161478,1
137,6.407781995,6.407781995,1
137,4.9275655,4.9275655,1
137,10.99967582,10.99967582,1
137,8.964914956,8.964914956,1
137,8.528722845,8.528722845,1
138,15.84098318,15.84098318,1
138,9.834491139,9.834491139,1
138,6.738808867,6.738808867,1
138,8.373103856,8.373103856,1
139,6.200711696,6.200711696,1
139,8.956278089,8.956278089,1
140,6.79151514,6.79151514,1
140,5.525867352,5.525867352,1
140,6.724651891,6.724651891,1
140,11.51785591,11.51785591,1
141,7.527180133,7.527180133,1
141,5.305008248,5.305008248,1
141,9.789933722,9.789933722,1
141,6.274716098,6.274716098,1
141,5.255565634,5.255565634,1
142,5.002300846,5.002300846,1
142,5.673752064,5.673752064,1
142,11.18882224,11.18882224,1
142,7.338517613,7.338517613,1
142,7.331622528,7.331622528,1
143,5.784322868,5.784322868,1
143,8.042711012,8.042711012,1
143,8.182740243,8.182740243,1
144,8.205441805,8.205441805,1
145,7.167622357,7.167622357,1
145,3.463297147,3.463297147,1
146,7.250056257,7.250056257,1
146,5.593013697,5.593013697,1
146,7.127048318,7.127048318,1
146,9.227424697,9.227424697,1
147,7.885518084,7.885518084,1
147,5.876214299,5.876214299,1
147,6.143302154,6.143302154,1
147,7.251553398,7.251553398,1
147,6.11937959,6.11937959,1
148,6.250918411,6.250918411,1
148,4.999831605,4.999831605,1
149,5.967851273,5.967851273,1
149,8.510361942,8.510361942,1
150,6.89796919,6.89796919,1
150,8.719280764,8.719280764,1
150,7.876359592,7.876359592,1
150,6.728465344,6.728465344,1
150,7.574024565,7.574024565,1
150,6.89796919,6.89796919,1
151,6.894041451,6.894041451,1
151,5.554756518,5.554756518,1
152,8.217508272,8.217508272,1
152,7.671080101,7.671080101,1
152,7.740586833,7.740586833,1
152,6.657632762,6.657632762,1
152,6.060671599,6.060671599,1
152,6.340007874,6.340007874,1
153,6.002244851,6.002244851,1
153,7.394831328,7.394831328,1
153,5.641263989,5.641263989,1
153,5.52228199,5.52228199,1
153,8.506201803,8.506201803,1
154,9.014663378,9.014663378,1
154,6.883175254,6.883175254,1
154,9.620840856,9.620840856,1
154,7.403713453,7.403713453,1
154,7.320184234,7.320184234,1
155,6.159540473,6.159540473,1
155,4.697030499,4.697030499,1
155,9.713388912,9.713388912,1
